Cat,key,UI Title,#,High Label,Low Label,Description,Existing Scale Source,Explanation,Result Text Hi,Result Text Med,Result Text Lo
A,accommodating,Conflict,1,Agreeable,Challenging,High scorers avoid conflict and look for common ground. Low scorers enjoy challenging opinions through argument.,TF-3,Your Conflict score shows your approach when you disagree with someone else or have needs that conflict with those of another person.,"As a more agreeable person, you avoid conflict and look for common ground with others. You can often see the value in any opinion.","Your conflict style is a moderate one. You don’t like arguing for the sake of it, but you’ll stand up for yourself when you feel strongly.","As a more challenging person, you enjoy debating opinions and don’t shy away from conflict. You may enjoy playing devil’s advocate."
A,compassionate,Empathy,2,Compassionate,Tough,High scorers feel for people in pain. Low scorers are not easily moved by the emotions or circumstances of others.,"TF-2, BF-A-6",Your Empathy score shows the degree to which you identify with and experience the emotions of other people.,"As a more compassionate person, you feel for others when you sense they are suffering or in pain. You often feel personally affected by the problems of others.","You’re similar to the average person in your level of empathy and compassion. You have sympathy for people who are experiencing hardship, but you don’t tend to be overcome by these feelings and can distance yourself when you need to.","As a Tough person, you don’t easily experience feelings of empathy for people who are suffering. You tend to keep a sense of cool detachment."
A,eager,Likability,3,Eager,Cool,High scorers want to be liked by others and work hard to please. Low scorers are less concerned with being likeable.,TF-5,"Your Likability score indicates the extent to which you put effort into getting others to like you. While the best relationships will be with people who love you for you are, this score shows how much you work at being a likable person.","As a person who is more eager, it is important to you to be liked by others and you spend a good amount of time and energy creating positive connections with others and ensuring you make a positive impression.","As a person who scores moderately on this trait, you probably feel more comfortable when people like and appreciate you, but don’t bend over backwards to please. You want to be liked for who you are, not what you do for people.","As a person with a more cool approach, you don’t think much about whether other people like you and tend to be yourself, whether others appreciate it or not. While you still value your genuine connections, it doesn’t bother you if some relationships just don’t come together."
A,modest,Self Concept,4,Modest,Superior,High scorers feel that they are no better than anyone else. Low scorers feel that they are superior and deserve better treatment.,"EG-e, BF-A-5",Your Self Concept score shows how you compare yourself with other people.,"As a more superior person, you believe you possess qualities that the average person does not. You have a sense of being special or important, and expect yourself to stand out in life. You are especially aware of your strengths and how they set you apart from others.","As someone who is moderate on this trait, you are generally a humble and modest person, but you also have a good sense of your strengths and how you can distinguish yourself from the average person. While you don’t consider yourself superior, you do know how to stand out when you want to.","As a more modest person, you have a strong sense of being no better than anyone else. You don’t expect to stand out or be treated differently than other people, and present a humble and unassuming attitude towards others."
A,altruistic,Concern,5,Altruistic,Self serving,"High scorers feel compelled to help out others, especially the less fortunate. Low scorers focus on their own needs.","TF-4, BF-A-3",,,,
A,trusting,Trust,6,Trusting,Suspicious,High scorers believe people are basically good and trustworthy. Low scorers believe that people will take advantage if given the chance.,"~TF- 6, BF-A-1",,,,
A,honest,Honesty,7,Candid,Cagey,High scorers are generally straightforward and see little reason to lie. Low scorers are more calculating about what they disclose.,BF-A-2,,,,
A,cooperative,Teamwork,8,Cooperative,Competitive,High scorers want to work in concert with others. Low scorers are more motivated by the chance to prevail over others.,?,,,,
C,ambitious,Ambition,1,Ambitious,Casual,High scorers have lofty goals and plans. Low scorers are content with basic needs met.,"JP-5, BF-C-4",Your Ambition score shows the extent to which you set goals for your personal achievement.,"As a more ambitious person, you have big goals and want to achieve a lot in life. You may think a lot about being successful and what that looks like to you.","As a moderately ambitious person, you have dreams and put effort into achieving them—but you also make time to enjoy life.","As a less ambitious and more casual person, you focus more on enjoying life rather than striving towards achievements. To you, it’s more important to be relaxed and content than to rack up accomplishments."
C,planned,Planning,2,Planned,Spontaneous,High scoreres like to plan in advance and stick to their schedules. Low scorers like to do what they want in the moment.,JP-2,Your Planning score indicates the extent to which you like to plan your activities ahead of time and avoid deviations from your schedule.,"As a person who tends to be more planned than spontaneous, you like to make your plans and arrangements in advance and stick to your schedule.","As a moderately Planned person, you tend to like to know what you’ll be doing in advance, but don’t mind being flexible as well.","As a Spontaneous person, you resist planning things in advance and dislike having to stick to a schedule."
C,orderly,Organization,3,Orderly,Chaotic,High scorers stay organized and keep belongings in their place. Low scorers have more chaotic surroundings.,JP-1,Your Organization score shows the extent to which you like to keep your belongings and environment in order.,"As a person who is more orderly, you believe in the maxim “a place for everything, and everything in its place.” You feel most comfortable when your surroundings are organized in the way you prefer.","As a moderately organized person, you probably keep some areas more orderly (such as your workspace) while you allow a little more freedom in other areas where organization doesn’t feel as critical. You’re not rigidly organized, but equally do not like to be surrounded by chaos.","As a more chaotic person, you feel constrained by strict organizational systems and prefer your surroundings to be more loose, flexible and forgiving."
C,dutiful,Responsibility,4,Dutiful,Carefree,High scorers are serious about responsibilities. Low scorers avoid duty and commitment.,JP-3,"Your Responsibility indicates how serious you are about duty, and how willing you are to take on firm commitments.","As a more dutiful person, you take your responsibilities seriously, and prioritize following through on your commitments. When you say you will do something, other people can rely on you to deliver.","As a moderately dutiful person, you probably see the value in commitment and responsibility but also like to keep some flexibility in your life. You will commit to things when they are important to you, but for less crucial tasks, you allow yourself to change your mind.","As a more carefree person, you dislike being responsible for things and tend to shy away from commitments. You don’t like being held to plans or promises that you may no longer feel like carrying out."
C,disciplined,Self Management,5,Disciplined,Impulsive,High scorers stick with their goals despite distraction and temptation. Low scorers are easily derailed.,JP-4,,,,
C,cautious,Decision Making,6,Cautious,Risk taking,High scorers think carefully about decisions and don’t jump into anything. Low scorers act with less thought about consequences.,"EG-i, EG-p, BF-C-6",,,,
C,effective,Direction,7,Effective,Haphazard,High scorers believe in their ability to control outcomes and get things done. Low scorers are more likely to let things just happen to them.,BF-C-1,,,,
E,excitable,Excitement,1,Excitable,Peaceful,"High scorers like busy, noisy surroundings. Low scorers become easily overstimulated and prefer quiet and calm.",EI-6,"Your Excitement score indicates your preference for your external environment: busy and noisy, or quiet and calm.","As someone who tends to prefer more excitement, you enjoy being in busy, noisy surroundings. Activity around you tends to make you feel energized and engaged.","As a person who scores around the mean on this scale, you get some energy from being in busy, noisy surroundings, but you also need some peace and quiet to recharge.","As a person who prefers peace over excitement, you gravitate towards quiet, calm surroundings. You easily become overstimulated and drained when your environment is too busy or noisy."
E,gregarious,Sociability,2,Gregarious,Private,High scorers have large social groups and many acquaintances. Low scorers are selective about social contacts.,EI-3,Your Sociability score is an indicator of the size and selectiveness of your social network.,"As a more gregarious person, you tend to have large social networks, including many friends and acquaintances.","As a moderately Gregarious person, you tend to have an average number of friends and acquaintances.","As a Private person, you tend to keep your social groups small and limited to people you know well."
E,expressive,Expression,3,Expressive,Reserved,High scorers communicate readily. Low scorers keep thoughts and feelings to themselves.,EI-2,Your Expression score shows how much you share your thoughts and feelings with others.,"As a person who is more expressive, you readily share your thoughts, feelings, and ideas. You freely communicate what’s going on in your head with the people around you.","As a moderately expressive person, you pick and choose which of your thoughts and feelings you share with others. You may be more open about your ideas when you feel safe or are surrounded by people who you believe will understand you.","As a more reserved person, you tend to keep your thoughts, feelings, and ideas to yourself. Others may have difficulty reading you or understanding how you feel about things."
E,joyful,Joy,4,Joyful,Content,High scorers feel many/strong positive emotions. Low scorers experience less positive emotion.,EI-4,"Your Joy score shows how apt you are to experience strong positive emotions, like joy, enthusiasm, or excitement.","As a more joyful person, you experience a lot of emotional highs in your life. You are prone to respond to life events with joy, enthusiasm, or excitement.","As a moderately joyful person, you are about as likely as the average person to experience joy, enthusiasm, or excitement. When great things happen to you, you respond in kind, but you don’t get overly excited by everyday events.","As a more content person, you are more likely to experience a sense of peaceful satisfaction rather that strong emotions of joy or enthusiasm. You tend to take happy events in stride and don’t display a lot of emotion when good things happen."
E,friendly,Approach,5,Friendly,Aloof,High scorers are likely to approach people. Low scorers keep distance and let others come to them.,EI-5,,,,
E,dominant,Leadership,6,Dominant,Passive,High scorers act on their environment and take charge. Low scorers let things happen and follow others.,"~EG-m, BF-E-3",,,,
E,energetic,Energy,7,Energetic,Measured,High scorers have lots of energy and keep busy. Low scorers are more conservative with energy.,EI-1,,,,
O,theoretical,Mentality,1,Theoretical,Practical,High scorers are interested in understanding complex ideas. Low scorers do not enjoy ideas for their own sake,SN-2,"Your Mentality score shows the types of concepts and ideas that you are interested in—whether you prefer to deal with things that are real and useful, or abstract ideas.","As a more theoretical person, you enjoy abstract ideas and thinking about complex concepts. You don’t need to see an idea demonstrated in real life in order to understand it or find it interesting.","As somebody in the middle of this trait, you probably have an appreciation for both abstract ideas and their practical application. You probably like learning about some theoretical ideas, but also want to understand how they apply in the real world.","As a more practical person, you prefer real, concrete things over abstract concepts. In school, you probably prefer learning facts and skills rather than studying theoretical concepts."
O,unique,Conformity,2,Unique,Conventional,High scorers feel different and apart from other people. Low scorers feel a sense of belonging and similarity to others.,EG-g,"Your Conformity score indicates the extent to which you have a sense of being similar to other people, or to the average person.","As a more unique person, you see yourself as different from the average or “normal” person, and often experience a sense of being apart or distinct from the people around you. You may feel that you don’t easily find people who understand you and that the groups you belong to are unusual or selective.","As a person who scores moderately on this scale, you may have some sense of being different from others in certain ways, but also find ways to identify with other people. Although you may not feel you fit in everywhere, it’s reasonably easy for you to find groups that give you a sense of belonging.","As a more conventional person, you probably have the sense of being fairly average or normal. You tend to feel you can identify some commonalities with most people, and you easily find a sense of belonging in many groups."
O,adventurous,Adventure,3,Adventurous,Habitual,High scorers enjoy trying new things and seek novel experiences. Low scorers prefer to stick to the familiar.,SN-6,Your Adventure score shows how much you enjoy trying new experiences.,"As an adventurous person, you relish new experiences and often seek out novelty. You are easily bored by repetitive activities and like to keep things fresh and unexpected.","As a moderately adventurous person, you like to try new things when the time (and your mood) is right, or when you have some degree of preparation as to what to expect. You probably have some aspects of routine that you enjoy, but also like to mix things up sometimes.","As a more habitual person, you are more comfortable with familiar experiences where you know what to expect. To you, trying something new is more stressful than exciting."
O,imaginative,Imagination,4,Imaginative,Realistic,High scorers have an active imagination and enjoy fantasy. Low scorers are focused on the real world and disinterested in fantasy.,SN-1,Your Imagination score measures your tendency to engage in fantasy and imaginative thought.,"As a more imaginative person, you have an active imagination and enjoy engaging in fantasy. You often find the real world less interesting than the world of your imagination.","As a moderately imaginative person, you value the power of your imagination, but you also like to see things play out in the real world. You like a certain degree of fantasy, but you also like to think through the practical applications of things.","As a more realistic person, you have a concrete way of thinking and focus on real life rather than things that exist only in fantasy or imagination."
O,curious,Intellect,5,Curious,Straightforward,High scorers want to know more about what they observe and look for the meaning behind things. Low scorers take things at face value.,SN-4,,,,
O,emotive,Emotionality,6,Emotive,Stoic,"High scorers describe emotions in depth and detail. Low scorers have less awareness about emotions and describe them simply, if at all.","EG-f, BF-O-3",,,,
O,progressive,Ideology,7,Progressive,Conservative,High scorers are interested in ways that systems and societies could change for the better. Low scorers prefer to keep the status quo.,SN-3,,,,
O,artistic,Aesthetics,8,Artistic,Utilitarian,High scorers are interested in art and cultural experiences. Low scorers prefer to focus on things that are useful or purposeful.,SN-5,,,,
R,optimistic,Outlook,1,Optimistic,Pessimistic,High scorers believe that things will turn out for the best. Low scorers see more possibility for poor outcomes in the future.,EG-l,Your Outlook score shows whether you typically expect things to work out well (optimism) or whether you tend to think more about how things could go wrong (pessimism).,"As a more optimistic person, you generally believe that things work out for the best. You naturally see how circumstances can go your way, and see the future in a positive light.","As neither an optimist nor a pessimist, you hope for the best but also understand that poor outcomes are sometimes inevitable. You likely feel hopeful about the future, but also have an awareness that things will not always go your way.","As a more pessimistic person, you tend to take a more realistic view of the future, taking stock of the way things could go wrong and trying your best to be prepared. You understand that circumstances beyond your control will sometimes thwart your plans."
R,fearless,Vigilance,2,Fearless,Worried,High scorers tend to be calm and unconcerned about danger. Low scorers sense danger in a variety of situations.,BF-N-1,Your Vigilance score shows how aware you are of potential danger and risk in your environment.,"As a more fearless person, you probably don’t think much about the potential dangers of your environment or your actions. You may dive into what some consider risky situations without much fear or concern.","You are average in your level of awareness to danger. You probably are not interested in engaging in particularly risky activities or situations, but neither do you shy away from relatively safe environments simply because of minor or unlikely dangers.","As a more worry-prone person, you tend to be highly attuned to potential dangers around you. You are unlikely to engage in activities that pose a risk, and you may be the first one to notice when you are in a potentially dangerous environment."
R,cheerful,Mood,3,Cheerful,Melancholy,High scorers are not prone to low moods or feeling blue. Low scorers are more prone to feel sad or discouraged.,"BF-N-3, EG-f",Your Mood score shows how prone you are to feeling down or discouraged.,"As a more cheerful person, you do not tend to be prone to sad or blue moods. You are not easily discouraged and tend to be resistant to stress.","You’re about average in your mood, which indicates that your tendency to feel sad or down is similar to the average person. Stressful situations or difficult thoughts will tend to impact you, but you can pull yourself out of most bad moods.","As a more melancholy person, you tend towards sad moods and may often feel a bit down. Stressful situations or upsetting thoughts tend to stick with you, and it may take more effort than average for you to pull yourself out of a bad mood."
R,selfassured,Confidence,4,Self-assured,Self-conscious,High scorers are confident in how they appear to others. Low scorers are unsure of themselves and get embarrassed easily.,BF-N-4,Your Confidence score measures the degree to which you feel sure of yourself and your ability to make a good impression on others.,"As a more self-assured person, you generally feel confident in social situations and expect to present a favorable impression most of the time. You usually have a sense of knowing what to say and do in front of other people.","As a moderately confident person, you generally feel that you know how to handle yourself in social situations, but unfamiliar challenges, such as a starting a new job or joining a new social group, may make you more prone to worry that you will not know how to fit in.","As a more self-conscious person, you may be unsure of yourself in social situations. You may have a sense that you often don’t know what to say or the right thing to do, and may worry about the impression you’re making."
R,resilient,Stress Tolerance,5,Resilient,Vulnerable,High scorers are not easily affected by daily stressors. Low scorers are more impacted by stress.,"BF-N-6, EG-f",,,,
R,eventempered,Aggression,6,Even-tempered,Volatile,High scorers do not easily get angry. Low scorers are more likely to become angry when they perceive that they’ve been violated.,BF-N-2,,,,